Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,Recycling_parsed,Cooking_With_parsed
obese,female,pescatarian,less frequently,electricity,walk/bicycle,None,sometimes,94,rarely,88,medium,6,17,0,3,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",807,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
underweight,female,vegan,daily,electricity,public,None,often,259,frequently,558,large,4,4,50,23,Sometimes,['Metal'],"['Oven', 'Grill', 'Airfryer']",1991,['Metal'],"['Oven', 'Grill', 'Airfryer']"
obese,male,vegetarian,less frequently,electricity,public,None,sometimes,67,rarely,752,large,3,14,37,14,Sometimes,['Plastic'],['Stove'],1817,['Plastic'],['Stove']
obese,male,pescatarian,daily,wood,walk/bicycle,None,never,130,rarely,71,small,2,10,15,10,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1490,['Glass'],"['Oven', 'Grill', 'Airfryer']"
underweight,female,omnivore,less frequently,electricity,public,None,never,258,frequently,1028,small,2,13,44,4,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1561,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
obese,female,vegan,more frequently,wood,public,None,sometimes,189,frequently,1527,medium,4,23,34,10,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2202,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
underweight,female,vegetarian,daily,coal,walk/bicycle,None,sometimes,262,frequently,88,large,5,24,8,15,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",2024,[],"['Microwave', 'Grill', 'Airfryer']"
normal,female,pescatarian,daily,natural gas,walk/bicycle,None,never,157,frequently,73,medium,4,1,42,22,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1659,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
normal,female,pescatarian,daily,wood,private,lpg,often,280,very frequently,8320,small,5,9,0,4,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3911,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
normal,male,vegetarian,twice a day,coal,walk/bicycle,None,sometimes,121,never,72,medium,6,11,4,10,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1204,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
underweight,female,vegan,less frequently,coal,walk/bicycle,None,often,174,very frequently,9,large,2,1,40,15,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2431,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']"
obese,male,vegetarian,daily,electricity,walk/bicycle,None,sometimes,173,frequently,60,medium,2,16,14,20,Sometimes,"['Plastic', 'Glass']",[],1640,"['Plastic', 'Glass']",[]
underweight,male,vegan,twice a day,natural gas,walk/bicycle,None,sometimes,199,frequently,13,medium,5,17,6,15,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1648,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
underweight,male,omnivore,less frequently,wood,walk/bicycle,None,never,94,rarely,32,small,6,15,5,17,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1002,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
underweight,female,pescatarian,less frequently,coal,walk/bicycle,None,never,64,frequently,49,small,1,19,47,16,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1771,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,omnivore,twice a day,electricity,public,None,never,100,very frequently,1351,extra large,1,20,24,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2028,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
normal,female,vegetarian,more frequently,coal,public,None,often,240,very frequently,1726,medium,2,15,19,5,No,"['Glass', 'Metal']","['Stove', 'Oven']",2540,"['Glass', 'Metal']","['Stove', 'Oven']"
underweight,female,omnivore,daily,electricity,public,None,sometimes,245,never,1021,medium,7,14,48,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1386,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
normal,female,pescatarian,daily,coal,walk/bicycle,None,sometimes,270,rarely,62,small,5,22,21,11,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1679,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,male,omnivore,daily,wood,private,electric,often,294,very frequently,9488,small,5,16,20,18,Yes,['Glass'],[],3141,['Glass'],[]
normal,male,vegetarian,more frequently,wood,public,None,never,87,very frequently,1037,large,4,0,11,24,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2627,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
underweight,male,pescatarian,less frequently,wood,private,electric,never,209,never,9555,large,2,13,43,3,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1188,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
underweight,male,pescatarian,twice a day,electricity,private,diesel,never,124,never,9031,extra large,5,1,11,5,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",3174,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']"
overweight,female,vegetarian,more frequently,natural gas,public,None,sometimes,276,frequently,1461,large,7,19,5,12,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2327,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,vegan,daily,wood,walk/bicycle,None,never,90,very frequently,39,medium,3,22,7,9,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1822,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']"
obese,female,vegan,less frequently,natural gas,private,diesel,sometimes,136,never,5033,medium,6,0,43,24,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2665,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
underweight,male,vegan,daily,electricity,public,None,sometimes,246,frequently,1065,extra large,4,22,43,7,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2129,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
normal,male,pescatarian,less frequently,wood,public,None,often,94,rarely,927,medium,5,18,10,21,Yes,"['Paper', 'Glass']",['Oven'],1425,"['Paper', 'Glass']",['Oven']
overweight,male,vegetarian,more frequently,electricity,private,hybrid,never,253,frequently,2277,large,1,0,11,20,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove'],1690,"['Paper', 'Glass', 'Metal']",['Stove']
obese,female,omnivore,more frequently,natural gas,walk/bicycle,None,never,200,rarely,97,medium,7,13,18,0,Sometimes,['Metal'],"['Stove', 'Microwave']",1717,['Metal'],"['Stove', 'Microwave']"
normal,male,vegan,less frequently,coal,private,lpg,sometimes,281,frequently,7272,large,2,4,38,5,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",4060,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']"
obese,female,vegetarian,less frequently,electricity,private,petrol,sometimes,82,rarely,5260,extra large,3,14,18,17,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",3262,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']"
overweight,female,pescatarian,more frequently,coal,public,None,often,73,rarely,1750,extra large,1,9,30,12,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1674,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
obese,male,vegetarian,daily,natural gas,private,hybrid,often,246,frequently,2998,small,4,0,36,3,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave']",3135,['Metal'],"['Stove', 'Oven', 'Microwave']"
underweight,male,pescatarian,less frequently,natural gas,private,lpg,sometimes,98,rarely,9147,extra large,5,1,49,20,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4465,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
overweight,male,pescatarian,twice a day,electricity,public,None,never,256,rarely,1947,extra large,3,23,33,8,Sometimes,[],['Stove'],1984,[],['Stove']
overweight,female,vegetarian,less frequently,electricity,private,lpg,often,287,very frequently,4885,large,1,21,21,3,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3246,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
obese,female,omnivore,daily,electricity,walk/bicycle,None,never,63,frequently,20,large,4,1,6,14,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1351,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
obese,male,vegetarian,less frequently,coal,walk/bicycle,None,often,158,never,23,extra large,1,24,33,2,No,['Glass'],['Stove'],1929,['Glass'],['Stove']
obese,male,omnivore,twice a day,electricity,walk/bicycle,None,often,241,frequently,34,large,5,24,15,10,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2719,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
obese,female,vegetarian,twice a day,coal,walk/bicycle,None,never,176,frequently,59,large,1,11,41,19,Yes,['Paper'],"['Stove', 'Oven']",2336,['Paper'],"['Stove', 'Oven']"
normal,female,vegetarian,less frequently,wood,public,None,often,189,never,682,small,6,0,35,3,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1270,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,None,often,214,never,10,large,6,20,12,24,Yes,['Glass'],"['Stove', 'Microwave']",1803,['Glass'],"['Stove', 'Microwave']"
normal,female,vegan,daily,electricity,walk/bicycle,None,sometimes,264,very frequently,10,medium,1,7,22,17,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1816,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
normal,male,omnivore,twice a day,coal,private,petrol,sometimes,213,never,7964,small,1,16,43,9,No,"['Paper', 'Plastic']","['Stove', 'Oven']",4638,"['Paper', 'Plastic']","['Stove', 'Oven']"
underweight,female,omnivore,twice a day,coal,private,hybrid,often,281,rarely,3606,small,3,16,8,22,Sometimes,"['Plastic', 'Metal']",['Stove'],1909,"['Plastic', 'Metal']",['Stove']
normal,male,vegan,less frequently,natural gas,public,None,sometimes,280,frequently,536,large,2,2,30,1,Yes,['Plastic'],['Oven'],2021,['Plastic'],['Oven']
normal,male,omnivore,more frequently,natural gas,public,None,never,125,rarely,1564,large,5,4,15,23,No,['Metal'],"['Oven', 'Microwave']",1896,['Metal'],"['Oven', 'Microwave']"
obese,male,vegan,daily,electricity,walk/bicycle,None,never,188,frequently,78,small,4,11,21,3,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",1770,['Paper'],"['Oven', 'Grill', 'Airfryer']"
normal,female,omnivore,daily,wood,walk/bicycle,None,often,251,never,98,small,1,12,47,3,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1323,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']"
normal,female,pescatarian,daily,wood,public,None,never,285,very frequently,1820,small,1,21,24,9,Yes,['Plastic'],"['Grill', 'Airfryer']",2269,['Plastic'],"['Grill', 'Airfryer']"
obese,male,vegan,more frequently,wood,public,None,never,234,never,243,extra large,4,20,36,5,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1918,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
overweight,female,vegan,daily,natural gas,public,None,sometimes,91,very frequently,1586,small,7,8,43,2,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",2477,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']"
normal,female,omnivore,daily,natural gas,walk/bicycle,None,never,118,frequently,11,large,3,6,10,16,No,['Paper'],"['Stove', 'Oven']",1444,['Paper'],"['Stove', 'Oven']"
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,None,never,75,never,72,small,5,15,42,16,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1254,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']"
overweight,male,vegetarian,more frequently,electricity,public,None,never,134,never,1157,small,5,19,35,10,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1411,['Glass'],"['Oven', 'Grill', 'Airfryer']"
underweight,male,pescatarian,daily,wood,public,None,often,282,never,1380,extra large,4,7,11,8,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1605,"['Plastic', 'Glass']","['Grill', 'Airfryer']"
obese,male,vegetarian,less frequently,electricity,private,lpg,often,110,never,5765,medium,5,7,2,18,No,['Paper'],"['Stove', 'Oven']",3054,['Paper'],"['Stove', 'Oven']"
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,None,never,202,very frequently,92,extra large,6,9,16,14,Yes,[],"['Grill', 'Airfryer']",2902,[],"['Grill', 'Airfryer']"
overweight,male,pescatarian,less frequently,electricity,private,lpg,never,56,frequently,7797,large,7,22,8,15,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",4301,"['Plastic', 'Glass']","['Stove', 'Oven']"
normal,female,vegan,twice a day,electricity,walk/bicycle,None,often,223,very frequently,50,small,3,12,35,22,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2308,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
normal,female,vegetarian,more frequently,wood,private,petrol,often,202,frequently,7629,medium,1,17,37,2,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",4132,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']"
overweight,male,vegetarian,daily,wood,private,petrol,sometimes,114,frequently,2367,medium,3,1,41,23,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",2993,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']"
overweight,female,omnivore,daily,wood,private,petrol,often,141,frequently,3960,medium,1,7,21,1,Yes,"['Paper', 'Plastic']",[],3098,"['Paper', 'Plastic']",[]
overweight,female,vegan,twice a day,coal,walk/bicycle,None,sometimes,236,rarely,42,extra large,2,19,15,10,Yes,"['Plastic', 'Metal']",[],1364,"['Plastic', 'Metal']",[]
normal,female,omnivore,daily,coal,private,lpg,sometimes,95,rarely,6455,large,1,15,31,14,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2941,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,vegetarian,more frequently,electricity,walk/bicycle,None,never,249,frequently,41,large,4,6,2,4,Sometimes,['Paper'],['Microwave'],1349,['Paper'],['Microwave']
overweight,female,pescatarian,daily,natural gas,walk/bicycle,None,often,213,never,71,medium,1,24,17,16,Yes,"['Plastic', 'Glass']",['Microwave'],1038,"['Plastic', 'Glass']",['Microwave']
obese,male,vegetarian,twice a day,wood,walk/bicycle,None,never,81,never,39,medium,7,16,31,15,No,"['Plastic', 'Glass']",[],1815,"['Plastic', 'Glass']",[]
overweight,female,vegetarian,more frequently,coal,walk/bicycle,None,never,91,very frequently,50,extra large,1,13,29,24,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2566,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,vegan,twice a day,wood,private,electric,sometimes,291,very frequently,8707,medium,3,2,23,23,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2439,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
obese,female,pescatarian,twice a day,electricity,private,lpg,sometimes,70,very frequently,167,small,2,9,7,20,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",2056,"['Plastic', 'Metal']","['Stove', 'Oven']"
overweight,female,pescatarian,more frequently,natural gas,public,None,often,89,very frequently,631,medium,7,2,0,18,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2299,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
overweight,male,vegan,twice a day,electricity,public,None,never,121,rarely,194,large,6,15,16,18,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1492,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']"
underweight,female,omnivore,daily,coal,walk/bicycle,None,often,198,rarely,46,medium,1,12,45,17,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",1692,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']"
obese,male,vegetarian,more frequently,wood,walk/bicycle,None,never,234,frequently,37,extra large,3,15,29,3,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",2581,['Paper'],"['Microwave', 'Grill', 'Airfryer']"
overweight,male,vegetarian,less frequently,wood,walk/bicycle,None,sometimes,84,rarely,31,large,2,0,1,1,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']",950,"['Glass', 'Metal']","['Grill', 'Airfryer']"
normal,male,vegan,twice a day,coal,private,lpg,often,182,never,2880,small,5,10,9,1,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1923,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,pescatarian,less frequently,wood,walk/bicycle,None,often,275,never,6,extra large,2,19,49,19,Yes,['Paper'],['Stove'],1751,['Paper'],['Stove']
underweight,female,pescatarian,more frequently,coal,walk/bicycle,None,sometimes,228,very frequently,40,small,6,1,35,7,Sometimes,['Glass'],"['Stove', 'Microwave']",2562,['Glass'],"['Stove', 'Microwave']"
overweight,male,vegan,more frequently,wood,walk/bicycle,None,never,140,frequently,1,large,6,9,24,24,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2456,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,vegetarian,more frequently,electricity,public,None,sometimes,232,never,1341,extra large,1,22,8,1,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",657,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']"
normal,female,pescatarian,twice a day,electricity,public,None,often,115,very frequently,393,small,3,21,13,9,No,"['Paper', 'Metal']","['Stove', 'Microwave']",1758,"['Paper', 'Metal']","['Stove', 'Microwave']"
obese,female,vegan,daily,natural gas,public,None,never,157,frequently,191,medium,4,2,44,12,Sometimes,"['Plastic', 'Glass']",['Microwave'],2184,"['Plastic', 'Glass']",['Microwave']
obese,female,pescatarian,twice a day,coal,public,None,sometimes,156,very frequently,131,extra large,1,14,20,23,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3009,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
underweight,male,omnivore,daily,wood,private,diesel,often,252,very frequently,1419,large,5,8,43,20,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",3748,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']"
normal,female,vegan,daily,electricity,private,electric,never,162,rarely,9159,small,7,2,26,16,No,[],['Microwave'],1122,[],['Microwave']
obese,male,vegetarian,daily,wood,private,hybrid,never,145,never,8016,small,3,21,14,16,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",2810,"['Plastic', 'Metal']","['Oven', 'Microwave']"
overweight,female,omnivore,daily,electricity,walk/bicycle,None,never,214,never,87,medium,3,24,32,23,No,['Plastic'],['Microwave'],1346,['Plastic'],['Microwave']
underweight,female,vegan,twice a day,natural gas,walk/bicycle,None,never,126,rarely,3,small,5,15,3,12,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",671,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
underweight,female,omnivore,twice a day,wood,walk/bicycle,None,often,91,frequently,13,extra large,1,19,44,16,Yes,"['Paper', 'Glass']",['Microwave'],1695,"['Paper', 'Glass']",['Microwave']
normal,female,omnivore,more frequently,electricity,walk/bicycle,None,never,205,never,74,large,3,6,2,19,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",810,"['Plastic', 'Metal']","['Oven', 'Microwave']"
